Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Avg PgCache (MB),Peak PgCache (MB),Avg Sys CPU (%),Peak Sys CPU (%),Iter
62,1m|1m|1|read|96|200,4403.81,-,286.00,664.00,328.65,543.37,9185.88,24101.22,1.35,5.10,3
63,1m|2g|1|read|96|10,13984.26,-,2561.21,2727.00,1188.97,1305.16,538873.51,707845.16,8.63,10.20,3
64,1m|4m|1|read|96|150,10092.49,-,511.19,1169.00,436.79,892.15,17584.43,60576.51,8.01,75.00,3
65,1m|5g|1|read|96|10,14041.57,-,2608.57,2759.00,1153.02,1257.29,540218.90,707967.50,8.69,9.90,3
66,1m|8m|1|read|96|120,11267.45,-,715.50,1724.00,563.00,1081.18,28944.40,90075.66,4.62,8.90,3
67,1m|10g|1|read|96|4,14049.93,-,2666.63,2781.00,1157.11,1283.51,543375.27,708494.00,8.72,10.40,3
68,1m|16m|1|read|96|120,12605.45,-,1189.56,2055.00,776.46,1143.54,73562.69,185559.96,7.79,44.70,3
69,1m|32m|1|read|96|100,13083.61,-,1592.24,2345.00,900.00,1203.17,130283.08,311971.51,6.86,9.80,3
70,1m|64m|1|read|96|100,13333.67,-,1923.55,2538.00,1037.92,1324.35,280746.25,619172.33,7.52,10.40,3
71,64k|64k|1|read|96|400,380.35,-,182.73,676.00,324.04,498.71,5168.07,7161.94,0.71,5.50,3
72,256k|256k|1|read|96|400,1537.24,-,201.45,888.00,326.31,525.92,6318.35,14386.91,4.13,93.70,3
