Matrix ID,Test ID,Config,Commit,IOType|Jobs|FSize|BS|IOD|NrFiles,Read BW (MB/s),Write BW (MB/s),Read Min (ms),Read Max (ms),Read Avg (ms),Read StdDev (ms),Read P50 (ms),Read P90 (ms),Read P99 (ms),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Avg PgCache (GB),Peak PgCache (GB),Avg Sys CPU (%),Peak Sys CPU (%),Avg Net RX (MB/s),Peak Net RX (MB/s),Avg Net TX (MB/s),Peak Net TX (MB/s),Iter
11,2,simplereader,go_new_mrd,read|2|1g|1m|1|20,4007.23,-,0.41,24.10,0.74,0.51,0.64,0.98,3.01,2.17,3.14,300.85,381.86,46.75,66.52,5.04,15.75,3238.74,4405.44,4.58,6.29,3
12,3,simplereader,go_new_mrd,read|4|1g|1m|1|20,7464.32,-,0.38,91.90,0.79,0.74,0.67,1.05,3.18,4.64,6.62,392.94,498.93,63.42,109.04,8.09,16.44,6065.11,8410.62,8.49,11.73,3
13,4,simplereader,go_new_mrd,read|8|1g|1m|1|20,12381.17,-,0.39,196.18,0.88,1.02,0.73,1.19,3.43,10.10,15.69,562.92,785.19,79.98,169.58,14.88,20.14,10745.62,16085.90,15.74,23.54,3
14,5,simplereader,go_new_mrd,read|16|1g|1m|1|20,15743.79,-,0.39,3012.71,1.20,7.69,0.94,1.77,3.90,30.47,80.96,994.93,1317.98,166.42,330.24,35.97,87.41,15044.51,22229.59,21.39,32.22,3
15,6,simplereader,go_new_mrd,read|32|1g|1m|1|20,15357.47,-,0.38,3259.39,1.29,7.35,0.95,2.08,4.38,31.82,82.60,1387.77,1729.23,333.73,649.66,36.76,90.80,15374.85,22017.92,22.68,39.56,3
16,7,simplereader,go_new_mrd,read|48|1g|1m|1|20,16240.67,-,0.39,2983.97,1.30,5.75,0.96,2.14,4.81,27.18,79.35,1585.50,1842.51,451.05,691.14,32.92,85.00,16482.67,21200.50,22.82,32.71,3
17,8,simplereader,go_new_mrd,read|64|1g|1m|1|20,17296.62,-,0.40,3544.82,1.53,10.59,1.09,2.57,5.15,43.31,81.68,1682.06,1937.65,484.47,691.31,50.24,90.98,17851.37,23736.14,25.03,34.67,3
18,9,simplereader,go_new_mrd,read|96|1g|1m|1|20,17823.61,-,0.39,4400.44,1.62,12.93,1.10,2.80,5.37,41.66,81.31,1837.17,2104.03,567.90,692.11,49.54,90.81,18568.25,24557.47,24.47,35.93,3
19,1,simplereader_8mb_128_96,go_new_mrd,read|1|1g|1m|1|20,1618.86,-,0.40,20.80,0.71,0.39,0.64,0.96,1.32,0.83,1.13,243.28,274.61,21.86,31.51,3.02,15.07,1346.31,1890.04,1.95,2.79,3
20,2,simplereader_8mb_128_96,go_new_mrd,read|2|1g|1m|1|20,3117.92,-,0.40,26.06,0.76,0.41,0.68,0.99,1.72,1.67,2.31,280.24,330.88,31.19,53.29,3.96,15.51,2615.66,3508.70,3.62,4.98,3
21,3,simplereader_8mb_128_96,go_new_mrd,read|4|1g|1m|1|20,5925.53,-,0.41,72.20,0.80,0.69,0.70,1.08,2.01,3.63,4.92,346.05,417.84,51.30,93.67,6.27,15.57,5158.64,7149.42,7.23,10.07,3
22,4,simplereader_8mb_128_96,go_new_mrd,read|8|1g|1m|1|20,11316.61,-,0.41,186.92,0.91,0.94,0.78,1.27,2.66,8.50,11.53,469.83,589.06,86.72,173.64,12.50,19.54,10167.02,13509.59,15.01,20.29,3
23,5,simplereader_8mb_128_96,go_new_mrd,read|16|1g|1m|1|20,13864.48,-,0.39,517.29,1.00,1.55,0.85,1.46,3.34,11.69,16.29,538.35,682.45,164.15,333.67,16.54,21.64,13044.10,17043.60,18.84,25.21,3
24,6,simplereader_8mb_128_96,go_new_mrd,read|32|1g|1m|1|20,15445.30,-,0.41,654.34,1.21,1.65,1.00,1.95,4.01,15.07,21.96,622.13,790.00,320.34,653.65,23.58,31.63,15173.99,18832.52,21.83,27.54,3
25,7,simplereader_8mb_128_96,go_new_mrd,read|48|1g|1m|1|20,14969.81,-,0.42,1866.49,1.40,2.54,1.09,2.46,4.28,15.58,21.24,695.18,826.55,432.61,693.72,29.80,40.28,15225.98,18727.12,21.75,27.43,3
26,8,simplereader_8mb_128_96,go_new_mrd,read|64|1g|1m|1|20,14925.80,-,0.42,1787.76,1.50,2.47,1.14,2.92,4.38,16.33,22.41,773.07,954.69,505.12,693.78,37.56,48.52,15342.46,19010.77,21.25,26.74,3
27,9,simplereader_8mb_128_96,go_new_mrd,read|96|1g|1m|1|20,15121.33,-,0.47,13519.53,1.87,14.24,1.43,3.57,5.05,17.93,25.69,833.88,1039.17,556.17,693.83,55.18,63.26,15729.56,18629.15,21.56,26.53,3
28,1,simplereader_16mb_192_144,go_new_mrd,read|1|1g|1m|1|20,1997.31,-,0.43,25.21,0.74,0.52,0.64,0.93,3.27,1.04,1.44,251.21,291.89,19.27,29.12,3.56,15.04,1591.76,2307.64,2.29,3.33,3
29,2,simplereader_16mb_192_144,go_new_mrd,read|2|1g|1m|1|20,3957.13,-,0.39,26.35,0.70,0.47,0.60,0.90,3.08,2.13,3.27,303.70,388.30,332.15,352.08,4.90,15.07,3219.38,4475.39,4.42,6.04,3
30,3,simplereader_16mb_192_144,go_new_mrd,read|4|1g|1m|1|20,7459.88,-,0.41,89.08,0.80,0.68,0.68,1.03,3.40,4.54,6.63,388.45,495.24,349.59,394.74,7.91,17.21,6116.71,8732.70,8.61,12.51,3
31,4,simplereader_16mb_192_144,go_new_mrd,read|8|1g|1m|1|20,12881.44,-,0.39,61.07,0.85,0.74,0.69,1.14,3.60,10.16,15.00,505.19,634.90,382.91,466.90,14.94,19.69,11169.54,15621.89,16.61,23.27,3
32,5,simplereader_16mb_192_144,go_new_mrd,read|16|1g|1m|1|20,15485.36,-,0.39,242.11,0.98,1.11,0.79,1.46,3.63,14.56,21.27,611.45,741.46,451.62,620.77,20.64,28.39,14538.16,19308.92,21.39,29.25,3
33,6,simplereader_16mb_192_144,go_new_mrd,read|32|1g|1m|1|20,15657.41,-,0.37,1130.91,1.18,2.58,0.93,1.97,3.99,17.54,46.29,741.83,905.36,313.92,649.72,25.07,54.55,15461.18,20873.68,21.72,29.66,3
34,7,simplereader_16mb_192_144,go_new_mrd,read|48|1g|1m|1|20,16468.35,-,0.39,2153.11,1.31,2.96,1.01,2.32,4.26,20.36,43.65,803.35,951.17,423.68,693.19,35.58,60.83,16720.16,21626.87,23.29,30.02,3
35,8,simplereader_16mb_192_144,go_new_mrd,read|64|1g|1m|1|20,16343.36,-,0.42,9079.66,1.53,12.64,1.12,2.82,5.02,20.05,41.88,903.64,1070.42,486.64,693.49,41.10,66.37,16841.82,20159.58,23.58,28.50,3
36,9,simplereader_16mb_192_144,go_new_mrd,read|96|1g|1m|1|20,15169.52,-,0.42,18137.28,1.70,19.15,1.28,3.11,5.00,19.56,41.92,959.06,1203.21,522.45,693.87,51.93,71.54,15759.71,20023.36,21.45,26.99,3
37,1,simplereader_16mb_256_192,go_new_mrd,read|1|1g|1m|1|20,1993.12,-,0.40,23.06,0.71,0.49,0.61,0.91,3.17,1.05,1.52,255.36,294.27,19.51,29.34,3.40,13.33,1607.13,2206.51,2.30,3.09,3
38,2,simplereader_16mb_256_192,go_new_mrd,read|2|1g|1m|1|20,3899.80,-,0.38,25.61,0.70,0.50,0.61,0.91,3.03,2.02,3.20,301.06,381.51,27.61,48.25,4.65,14.39,3168.51,4479.54,4.42,6.33,3
39,3,simplereader_16mb_256_192,go_new_mrd,read|4|1g|1m|1|20,7616.21,-,0.39,60.21,0.80,0.64,0.68,1.04,3.35,4.75,6.68,389.69,524.57,44.08,84.54,8.19,16.53,6255.82,8572.39,8.78,12.18,3
40,4,simplereader_16mb_256_192,go_new_mrd,read|8|1g|1m|1|20,12390.82,-,0.37,187.52,0.86,0.99,0.72,1.16,3.39,9.99,15.11,567.32,778.08,79.30,169.54,14.81,20.53,10688.60,15721.67,15.69,23.48,3
41,5,simplereader_16mb_256_192,go_new_mrd,read|16|1g|1m|1|20,15649.41,-,0.41,1410.81,1.13,4.08,0.90,1.69,3.75,22.49,63.49,728.04,952.55,156.83,329.55,28.12,66.65,14594.18,21217.53,20.54,30.53,3
42,6,simplereader_16mb_256_192,go_new_mrd,read|32|1g|1m|1|20,16287.29,-,0.38,2015.17,1.20,5.49,0.91,1.96,4.13,24.33,77.15,835.04,1008.84,322.13,649.55,30.98,85.24,16090.91,22196.39,22.00,31.35,3
43,7,simplereader_16mb_256_192,go_new_mrd,read|48|1g|1m|1|20,15877.51,-,0.40,3058.50,1.31,4.45,0.98,2.33,4.64,19.95,64.34,897.97,1028.07,439.33,693.19,28.73,78.31,16129.03,22009.22,21.89,30.04,3
44,8,simplereader_16mb_256_192,go_new_mrd,read|64|1g|1m|1|20,16652.05,-,0.38,9096.90,1.44,8.87,1.08,2.62,4.62,24.72,54.45,956.59,1198.14,473.17,693.09,40.13,69.51,17068.37,21639.86,23.97,30.61,3
45,9,simplereader_16mb_256_192,go_new_mrd,read|96|1g|1m|1|20,16078.77,-,0.43,7343.44,1.73,8.32,1.27,3.30,5.41,22.64,43.56,1111.58,1383.75,541.78,693.34,50.68,75.38,16778.25,21001.58,22.40,28.53,3
