Matrix ID,Test ID,Config,Commit,IOType|Jobs|FSize|BS|IOD|NrFiles,Read BW (MB/s),Write BW (MB/s),Read Min (ms),Read Max (ms),Read Avg (ms),Read StdDev (ms),Read P50 (ms),Read P90 (ms),Read P99 (ms),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Avg PgCache (GB),Peak PgCache (GB),Avg Sys CPU (%),Peak Sys CPU (%),Avg Net RX (MB/s),Peak Net RX (MB/s),Avg Net TX (MB/s),Peak Net TX (MB/s),Iter
1,1,agareader,go_new_mrd,read|1|1g|1m|1|20,623.09,-,0.48,16.94,0.82,0.34,0.75,0.99,1.54,0.48,0.59,229.77,244.11,25.83,36.24,1.38,12.97,593.93,766.15,0.75,0.95,3
2,2,agareader,go_new_mrd,read|2|1g|1m|1|20,1200.32,-,0.54,67.26,0.95,0.64,0.85,1.19,2.49,0.95,1.16,259.48,298.42,35.55,56.40,2.01,15.09,1152.52,1365.07,1.43,2.32,3
3,3,agareader,go_new_mrd,read|4|1g|1m|1|20,2372.59,-,0.44,92.07,0.94,0.61,0.86,1.16,2.53,1.83,2.14,272.01,296.99,53.50,94.99,3.16,14.49,2294.59,2891.23,2.80,3.97,3
4,4,agareader,go_new_mrd,read|8|1g|1m|1|20,4713.76,-,0.47,172.98,1.06,0.86,0.91,1.54,3.05,3.58,4.18,316.38,351.29,92.08,176.05,5.51,15.15,4598.27,5545.09,5.58,6.81,3
5,5,agareader,go_new_mrd,read|16|1g|1m|1|20,8608.96,-,0.46,218.75,1.23,1.16,0.98,1.92,3.50,7.48,8.89,384.42,418.59,163.58,331.43,10.50,16.70,8559.57,10307.76,10.52,12.88,3
6,6,agareader,go_new_mrd,read|32|1g|1m|1|20,12691.80,-,0.48,334.72,1.37,1.34,1.10,2.13,3.76,13.18,15.93,530.83,626.96,316.64,651.71,17.51,20.38,12788.30,15267.94,15.96,19.32,3
7,7,agareader,go_new_mrd,read|48|1g|1m|1|20,13745.04,-,0.45,3228.69,1.39,4.09,1.09,2.20,3.86,14.44,16.93,709.79,806.54,435.32,692.16,19.16,22.59,13897.21,16363.42,17.08,20.27,3
8,8,agareader,go_new_mrd,read|64|1g|1m|1|20,13656.52,-,0.46,717.23,1.54,1.58,1.26,2.42,4.09,14.11,16.64,852.69,948.72,488.46,692.04,19.25,21.83,13945.59,15851.63,17.13,19.94,3
9,9,agareader,go_new_mrd,read|96|1g|1m|1|20,13986.59,-,0.44,536.87,1.63,1.48,1.39,2.58,4.07,14.12,17.09,1208.23,1416.62,533.29,686.32,19.81,24.99,14344.73,16136.04,17.45,19.86,3
10,1,simplereader,go_new_mrd,read|1|1g|1m|1|20,1987.74,-,0.38,26.94,0.72,0.48,0.62,0.94,3.06,1.07,1.46,254.53,297.89,37.73,47.66,3.57,14.87,1589.27,2211.06,2.28,3.23,3
