Matrix ID,Test ID,Config,Commit,IOType|Jobs|FSize|BS|IOD|NrFiles,Read BW (MB/s),Write BW (MB/s),Read Min (ms),Read Max (ms),Read Avg (ms),Read StdDev (ms),Read P50 (ms),Read P90 (ms),Read P99 (ms),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Avg PgCache (GB),Peak PgCache (GB),Avg Sys CPU (%),Peak Sys CPU (%),Avg Net RX (MB/s),Peak Net RX (MB/s),Avg Net TX (MB/s),Peak Net TX (MB/s),Iter
1,1,agareader,go_new_mrd,read|1|1g|1m|1|20,626.77,-,0.51,23.09,0.87,0.37,0.81,1.01,1.66,0.48,0.58,233.06,245.63,24.80,35.16,1.33,13.26,595.90,788.08,0.77,0.99,3
2,2,agareader,go_new_mrd,read|2|1g|1m|1|20,1198.03,-,0.55,30.75,0.95,0.48,0.87,1.13,2.55,0.96,1.13,247.67,272.25,33.96,55.18,1.94,12.91,1149.58,1463.11,1.40,1.84,3
3,3,agareader,go_new_mrd,read|4|1g|1m|1|20,2344.72,-,0.53,166.58,0.96,0.90,0.87,1.18,2.86,1.81,2.19,273.92,297.23,53.00,94.65,3.05,13.58,2273.42,2751.93,2.75,3.29,3
4,4,agareader,go_new_mrd,read|8|1g|1m|1|20,4649.52,-,0.47,139.34,1.14,0.86,0.96,1.69,3.17,3.44,4.29,317.13,350.18,92.43,175.34,5.31,14.80,4518.81,5634.34,5.57,6.82,3
5,5,agareader,go_new_mrd,read|16|1g|1m|1|20,8690.35,-,0.42,173.24,1.21,1.00,0.95,2.01,3.53,7.48,8.97,388.62,429.34,165.17,334.71,10.46,16.77,8543.16,10419.72,10.37,13.11,3
6,6,agareader,go_new_mrd,read|32|1g|1m|1|20,13062.10,-,0.46,404.94,1.29,1.55,1.01,2.07,3.70,13.16,15.75,538.31,601.93,324.84,655.20,17.44,19.74,12991.23,15387.54,15.87,18.84,3
7,7,agareader,go_new_mrd,read|48|1g|1m|1|20,12975.52,-,0.45,578.10,1.41,1.69,1.12,2.25,3.88,13.48,16.18,674.48,751.60,414.15,698.25,18.08,21.72,13188.72,16013.46,16.31,20.32,3
8,8,agareader,go_new_mrd,read|64|1g|1m|1|20,13542.33,-,0.44,556.76,1.48,1.59,1.18,2.34,3.99,13.90,16.61,849.86,968.35,490.08,696.59,18.83,22.13,13887.35,16229.93,16.84,20.04,3
9,9,agareader,go_new_mrd,read|96|1g|1m|1|20,13428.96,-,0.47,921.91,1.62,1.78,1.37,2.54,4.07,13.36,16.92,1151.28,1338.11,500.22,695.69,18.56,21.52,13732.93,16223.35,16.91,20.57,3
10,1,simplereader,go_new_mrd,read|1|1g|1m|1|20,1998.00,-,0.39,19.67,0.68,0.47,0.58,0.85,3.18,0.99,1.46,252.62,302.69,21.11,31.47,3.40,14.02,1590.92,2355.57,2.33,3.31,3
11,2,simplereader,go_new_mrd,read|2|1g|1m|1|20,4015.08,-,0.37,47.57,0.70,0.56,0.60,0.91,3.15,2.16,3.27,309.30,379.12,30.21,51.62,4.78,14.15,3272.03,4577.19,4.55,6.66,3
12,3,simplereader,go_new_mrd,read|4|1g|1m|1|20,7484.87,-,0.39,46.04,0.77,0.61,0.65,1.02,3.21,4.69,6.83,404.52,525.31,45.05,83.81,8.33,17.26,6132.73,8501.05,8.57,11.93,3
13,4,simplereader,go_new_mrd,read|8|1g|1m|1|20,12967.64,-,0.37,64.74,0.80,0.65,0.67,1.05,3.46,10.17,14.67,574.04,782.78,79.99,169.94,15.00,21.71,11139.72,15540.12,16.31,22.95,3
14,5,simplereader,go_new_mrd,read|16|1g|1m|1|20,16341.03,-,0.42,2204.63,1.22,6.97,0.95,1.77,3.97,31.30,75.34,1021.74,1493.90,167.14,331.57,37.21,83.26,15499.56,22082.02,21.47,30.25,3
15,6,simplereader,go_new_mrd,read|32|1g|1m|1|20,15554.91,-,0.40,3523.26,1.25,7.28,0.93,1.97,4.21,27.03,80.61,1463.62,1816.35,336.28,651.96,32.68,89.85,15613.76,23701.13,21.97,36.71,3
16,7,simplereader,go_new_mrd,read|48|1g|1m|1|20,16066.99,-,0.39,3163.75,1.29,6.22,0.97,2.12,4.47,31.06,82.37,1651.33,1856.57,446.75,692.72,36.33,88.01,16305.80,22087.05,24.28,33.58,3
17,8,simplereader,go_new_mrd,read|64|1g|1m|1|20,16638.04,-,0.39,3228.14,1.39,7.88,1.01,2.30,4.90,32.68,82.67,1701.23,1888.80,512.91,693.29,38.83,89.76,17105.33,22910.87,24.03,34.78,3
18,9,simplereader,go_new_mrd,read|96|1g|1m|1|20,18356.50,-,0.39,3626.45,1.72,13.05,1.17,2.99,5.47,46.29,82.28,1780.56,2097.07,537.99,693.72,54.73,90.60,19230.39,25183.61,25.48,43.38,3
19,1,simplereader_8mb_128_96,go_new_mrd,read|1|1g|1m|1|20,1633.13,-,0.40,21.27,0.74,0.37,0.67,0.99,1.40,0.86,1.18,247.36,267.38,36.25,46.36,2.99,15.04,1354.53,1848.93,2.00,2.72,3
20,2,simplereader_8mb_128_96,go_new_mrd,read|2|1g|1m|1|20,3213.17,-,0.42,80.02,0.77,0.59,0.69,1.04,1.53,1.72,2.38,272.33,322.29,44.74,64.58,4.04,15.11,2697.12,3699.31,3.81,5.19,3
