Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,12018.48,-,4133.52,5156.00,1850.80,2138.67,3
2,1m|2g|2|read|48|10,12024.56,-,3982.28,4951.00,1531.64,1701.54,3
3,1m|5g|2|read|48|10,10514.47,-,3201.77,5029.00,1524.10,1757.90,3
4,1m|10g|2|read|48|4,11185.68,-,3651.24,5263.00,1621.24,1875.71,3
5,1m|32m|2|read|48|100,10727.67,-,2135.70,4021.00,1160.06,1944.35,3
6,1m|64m|2|read|48|100,11846.69,-,2969.57,4498.00,1566.08,2123.35,3
7,1m|1g|2|read|96|20,9409.94,-,2780.55,4797.00,1945.70,2154.17,3
8,1m|2g|2|read|96|10,11708.44,-,3215.48,5338.00,1948.21,2363.45,3
9,1m|5g|2|read|96|10,12553.19,-,4083.41,5094.00,1993.38,2286.39,3
10,1m|10g|2|read|96|4,10230.29,-,3010.01,5402.00,1901.81,2181.28,3
11,1m|32m|2|read|96|100,12595.49,-,2987.84,4409.00,1656.33,2380.11,3
12,1m|64m|2|read|96|100,11830.29,-,3001.75,4234.00,1877.52,2389.79,3
