Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,11457.92,-,3232.98,5266.00,1424.85,1705.55,3
2,1m|2g|2|read|48|10,9754.43,-,2204.52,3843.00,1281.64,1573.19,3
3,1m|5g|2|read|48|10,11750.30,-,3347.76,5357.00,1288.88,1669.07,3
4,1m|10g|2|read|48|4,8066.44,-,2257.99,4958.00,1164.02,1525.05,3
5,1m|32m|2|read|48|100,10481.36,-,2148.14,4272.00,1042.51,1560.84,3
6,1m|64m|2|read|48|100,11189.03,-,2710.38,4176.00,1301.33,1742.20,3
7,1m|1g|2|read|96|20,10392.16,-,3356.35,4715.00,1604.54,1741.57,3
8,1m|2g|2|read|96|10,11215.18,-,2858.49,4036.00,1541.21,1717.07,3
9,1m|5g|2|read|96|10,12437.33,-,4314.84,5708.00,1614.77,1878.31,3
10,1m|10g|2|read|96|4,8477.46,-,2578.34,4898.00,1517.49,1686.83,3
11,1m|32m|2|read|96|100,12732.83,-,2985.67,4472.00,1363.51,1954.52,3
12,1m|64m|2|read|96|100,12172.78,-,3380.99,4373.00,1581.97,2020.02,3
