Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,12403.91,-,3724.77,4878.00,1464.57,1689.64,3
2,1m|2g|2|read|48|10,11154.47,-,3362.17,5481.00,1386.60,1755.40,3
3,1m|5g|2|read|48|10,12095.34,-,3267.70,4588.00,1361.57,1640.54,3
4,1m|10g|2|read|48|4,6394.34,-,1387.50,3413.00,1056.88,1356.30,3
5,1m|32m|2|read|48|100,11418.72,-,2024.15,4180.00,1042.24,1609.46,3
6,1m|64m|2|read|48|100,11639.89,-,2879.31,4345.00,1286.53,1702.87,3
7,1m|1g|2|read|96|20,11078.96,-,3048.73,4567.00,1554.76,1820.73,3
8,1m|2g|2|read|96|10,10012.28,-,2695.45,4530.00,1548.63,1732.97,3
9,1m|5g|2|read|96|10,12265.30,-,3793.67,5541.00,1575.23,1827.14,3
10,1m|10g|2|read|96|4,10311.90,-,3369.46,5365.00,1555.62,1837.42,3
11,1m|32m|2|read|96|100,12085.64,-,2810.98,4408.00,1373.57,1917.73,3
12,1m|64m|2|read|96|100,12000.45,-,3083.44,4688.00,1542.46,2061.87,3
