Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,11675.21,-,3737.73,5270.00,1677.22,1924.09,3
2,1m|2g|2|read|48|10,12377.65,-,3833.65,5067.00,1700.29,1896.69,3
3,1m|5g|2|read|48|10,12308.98,-,4015.10,5222.00,1738.38,1948.60,3
4,1m|10g|2|read|48|4,8787.01,-,2164.19,4041.00,1627.71,1908.65,3
5,1m|32m|2|read|48|100,11473.85,-,2021.99,4317.00,1177.70,1833.18,3
6,1m|64m|2|read|48|100,12151.34,-,3143.75,4801.00,1418.22,2015.33,3
7,1m|1g|2|read|96|20,10376.71,-,3159.18,4135.00,1770.27,2031.01,3
8,1m|2g|2|read|96|10,13077.80,-,4753.15,5243.00,1887.23,2151.13,3
9,1m|5g|2|read|96|10,11167.42,-,3468.17,4896.00,1781.56,1942.02,3
10,1m|10g|2|read|96|4,10892.18,-,3530.97,5350.00,1769.08,2005.38,3
11,1m|32m|2|read|96|100,12764.56,-,3114.48,4506.00,1530.41,2160.73,3
12,1m|64m|2|read|96|100,11761.89,-,3633.59,4449.00,1773.28,2260.55,3
