Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,19849.69,-,1845.10,2209.00,206.82,229.92,3
2,1m|2g|2|read|48|10,19691.52,-,1935.45,2255.00,205.69,223.98,3
3,1m|5g|2|read|48|10,19932.21,-,1911.53,2251.00,221.78,236.18,3
4,1m|10g|2|read|48|4,19861.65,-,1954.15,2177.00,218.73,237.15,3
5,1m|32m|2|read|48|100,19554.23,-,812.23,1561.00,185.51,222.48,3
6,1m|64m|2|read|48|100,19618.36,-,1171.40,1869.00,201.16,238.01,3
7,1m|1g|2|read|96|20,19609.43,-,1810.53,2028.00,264.48,284.03,3
8,1m|2g|2|read|96|10,20050.18,-,1568.48,1722.00,258.99,292.57,3
9,1m|5g|2|read|96|10,19484.56,-,1795.08,1946.00,270.18,289.61,3
10,1m|10g|2|read|96|4,20256.14,-,1556.77,2114.00,252.61,308.57,3
11,1m|32m|2|read|96|100,19191.33,-,890.89,1466.00,233.25,278.82,3
12,1m|64m|2|read|96|100,19435.88,-,1216.50,1677.00,256.41,301.18,3
