Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,11922.61,-,3595.11,4747.00,1128.76,1305.62,3
2,1m|2g|2|read|48|10,10830.58,-,2938.07,5067.00,1116.69,1283.72,3
3,1m|5g|2|read|48|10,10382.38,-,2660.10,4128.00,1149.87,1264.81,3
4,1m|10g|2|read|48|4,10992.38,-,3073.49,4965.00,1139.78,1318.97,3
5,1m|32m|2|read|48|100,11016.70,-,2203.21,4211.00,842.96,1295.75,3
6,1m|64m|2|read|48|100,11411.29,-,2714.11,4320.00,1009.26,1281.77,3
7,1m|1g|2|read|96|20,10130.09,-,3338.18,4066.00,1243.90,1436.58,3
8,1m|2g|2|read|96|10,12115.95,-,3991.57,4655.00,1240.94,1475.81,3
9,1m|5g|2|read|96|10,10529.30,-,2944.82,4541.00,1200.76,1396.96,3
10,1m|10g|2|read|96|4,11973.62,-,4349.39,5019.00,1263.64,1414.73,3
11,1m|32m|2|read|96|100,11845.43,-,2753.75,4187.00,1108.50,1585.57,3
12,1m|64m|2|read|96|100,11140.42,-,2940.62,3753.00,1264.64,1666.78,3
