Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,11507.76,-,3554.50,4844.00,1484.51,1712.87,3
2,1m|2g|2|read|48|10,12342.61,-,3991.02,5342.00,1520.00,1669.05,3
3,1m|5g|2|read|48|10,12981.66,-,4363.49,5632.00,1567.77,1792.57,3
4,1m|10g|2|read|48|4,7241.81,-,1695.08,3740.00,1448.23,1592.90,3
5,1m|32m|2|read|48|100,10973.30,-,2098.64,4296.00,1067.31,1641.16,3
6,1m|64m|2|read|48|100,11209.47,-,2367.60,4071.00,1261.92,1720.42,3
7,1m|1g|2|read|96|20,8215.09,-,2478.53,2871.00,1615.23,1868.04,3
8,1m|2g|2|read|96|10,8460.07,-,2039.33,3501.00,1606.47,1976.46,3
9,1m|5g|2|read|96|10,10855.33,-,3477.70,4190.00,1595.47,1918.29,3
10,1m|10g|2|read|96|4,11156.01,-,3095.07,4552.00,1649.44,1777.01,3
11,1m|32m|2|read|96|100,12463.99,-,3031.40,4322.00,1381.32,1875.99,3
12,1m|64m|2|read|96|100,11026.85,-,2936.58,3794.00,1559.38,2076.56,3
