Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,12065.65,-,3799.42,5109.00,1501.99,1677.30,3
2,1m|2g|2|read|48|10,12874.33,-,4308.79,5527.00,1508.38,1682.33,3
3,1m|5g|2|read|48|10,10910.78,-,3004.58,5235.00,1439.25,1736.35,3
4,1m|10g|2|read|48|4,10180.49,-,3104.41,4947.00,1423.06,1669.48,3
5,1m|32m|2|read|48|100,10917.97,-,2172.30,3826.00,1058.05,1668.27,3
6,1m|64m|2|read|48|100,11482.41,-,2648.01,4503.00,1284.56,1717.79,3
7,1m|1g|2|read|96|20,11722.14,-,3831.25,4776.00,1602.92,1839.68,3
8,1m|2g|2|read|96|10,13302.04,-,4298.75,5350.00,1627.63,1857.11,3
9,1m|5g|2|read|96|10,9731.60,-,2516.90,5058.00,1530.18,1706.51,3
10,1m|10g|2|read|96|4,11727.86,-,4113.15,5522.00,1575.67,1761.40,3
11,1m|32m|2|read|96|100,12471.76,-,2936.68,4356.00,1379.42,1948.48,3
12,1m|64m|2|read|96|100,12194.13,-,3531.19,4547.00,1591.10,2046.95,3
