IO_TYPE,FILE_SIZE,BLOCK_SIZE,NR_FILES,QUEUE_DEPTH,NUM_JOBS
read,64K,64K,20000,4,50
read,128K,128K,20000,4,50
read,1M,256K,20000,4,50
read,100M,1M,1000,4,50
read,10G,1M,16,4,1
read,10G,1M,2,4,8
read,10G,1M,1,4,96
randread,1M,256K,20000,4,50
