Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,11870.55,-,3411.98,4850.00,1839.28,2087.60,3
2,1m|2g|2|read|48|10,12614.22,-,4261.37,5388.00,1878.05,2093.53,3
3,1m|5g|2|read|48|10,10491.11,-,2838.47,5348.00,1821.58,2131.87,3
4,1m|10g|2|read|48|4,9189.22,-,2229.91,5360.00,1847.54,2071.55,3
5,1m|32m|2|read|48|100,10772.72,-,2169.72,4275.00,1223.26,1940.76,3
6,1m|64m|2|read|48|100,12036.84,-,2957.78,4645.00,1560.20,2118.25,3
7,1m|1g|2|read|96|20,8989.16,-,2504.30,3631.00,1901.17,2230.93,3
8,1m|2g|2|read|96|10,12151.44,-,4052.77,4660.00,1994.84,2294.57,3
9,1m|5g|2|read|96|10,12031.94,-,4162.02,5113.00,1982.04,2176.27,3
10,1m|10g|2|read|96|4,10858.81,-,3555.85,5260.00,1963.53,2284.91,3
11,1m|32m|2|read|96|100,12394.97,-,2867.76,4590.00,1638.47,2356.57,3
12,1m|64m|2|read|96|100,12124.79,-,3457.06,4356.00,1875.47,2276.00,3
