Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,15822.72,-,6972.88,13381.00,1368.52,1672.13,3
2,1m|2g|2|read|48|10,15632.94,-,5068.14,9080.00,1180.54,1482.43,3
3,1m|5g|2|read|48|10,17999.14,-,5886.19,10880.00,1237.67,1486.00,3
4,1m|10g|2|read|48|4,14921.02,-,4845.01,9929.00,1182.66,1407.15,3
5,1m|32m|2|read|48|100,17009.28,-,4296.72,9691.00,964.16,1647.66,3
6,1m|64m|2|read|48|100,15738.64,-,5849.44,10967.00,1335.85,1867.69,3
7,1m|1g|2|read|96|20,17565.11,-,8128.22,12953.00,1743.55,1936.79,3
8,1m|2g|2|read|96|10,18002.36,-,9523.45,14175.00,1704.38,1861.17,3
9,1m|5g|2|read|96|10,14038.90,-,7279.50,14697.00,1521.22,1868.59,3
10,1m|10g|2|read|96|4,19203.05,-,10028.38,13579.00,1747.53,1838.55,3
11,1m|32m|2|read|96|100,16993.69,-,5223.35,9475.00,1376.06,2174.90,3
12,1m|64m|2|read|96|100,16177.93,-,5998.79,12706.00,1625.60,2135.17,3
