Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,13263.48,-,2187.21,2678.00,690.61,792.47,3
2,1m|2g|2|read|48|10,13518.57,-,2301.04,2657.00,684.99,766.47,3
3,1m|5g|2|read|48|10,14332.63,-,2482.58,2891.00,711.60,776.33,3
4,1m|10g|2|read|48|4,14162.61,-,2464.87,2866.00,709.44,790.39,3
5,1m|32m|2|read|48|100,12005.67,-,1191.17,2047.00,506.02,693.98,3
6,1m|64m|2|read|48|100,12591.07,-,1587.17,2341.00,583.36,714.83,3
7,1m|1g|2|read|96|20,13818.55,-,2365.79,2684.00,1165.66,1299.96,3
8,1m|2g|2|read|96|10,13409.19,-,2232.45,2599.00,1144.61,1355.18,3
9,1m|5g|2|read|96|10,13387.22,-,2179.57,2645.00,1106.49,1266.62,3
10,1m|10g|2|read|96|4,13866.25,-,2490.01,2711.00,1145.40,1293.37,3
11,1m|32m|2|read|96|100,13047.81,-,1489.95,2254.00,888.84,1200.82,3
12,1m|64m|2|read|96|100,13538.50,-,1929.95,2494.00,1061.00,1303.12,3
