Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,16068.92,-,6378.64,13297.00,1572.75,1794.04,3
2,1m|2g|2|read|48|10,13532.35,-,5816.21,13097.00,1550.49,1822.53,3
3,1m|5g|2|read|48|10,14679.85,-,5009.85,12573.00,1472.24,1829.81,3
4,1m|10g|2|read|48|4,12406.91,-,2927.77,7492.00,1444.95,1766.48,3
5,1m|32m|2|read|48|100,16728.73,-,3474.22,8191.00,979.11,1634.08,3
6,1m|64m|2|read|48|100,15164.92,-,5765.29,10157.00,1356.86,1864.16,3
7,1m|1g|2|read|96|20,17561.69,-,9767.60,12957.00,1753.49,1951.60,3
8,1m|2g|2|read|96|10,18725.04,-,9181.38,13013.00,1741.08,1924.07,3
9,1m|5g|2|read|96|10,19090.18,-,7677.09,12373.00,1722.65,1911.25,3
10,1m|10g|2|read|96|4,12571.04,-,3752.87,11036.00,1633.48,1799.58,3
11,1m|32m|2|read|96|100,16116.77,-,4795.43,8963.00,1346.18,1989.94,3
12,1m|64m|2|read|96|100,15130.40,-,4790.45,9316.00,1612.86,2119.82,3
